iter	Passed	Remaining
439	3645	4640
440	3648	4625
441	3651	4610
442	3654	4595
443	3657	4579
444	3660	4565
445	3663	4550
446	3665	4535
447	3668	4520
448	3671	4505
449	3674	4491
450	3677	4476
451	3680	4461
452	3683	4447
453	3685	4432
454	3688	4418
455	3691	4404
456	3694	4389
457	3697	4375
458	3700	4361
459	3703	4347
460	3706	4333
461	3709	4319
462	3712	4305
463	3715	4291
464	3718	4277
465	3721	4264
466	3723	4250
467	3726	4236
468	3729	4222
469	3731	4208
470	3734	4194
471	3737	4180
472	3740	4167
473	3742	4153
474	3745	4139
475	3748	4126
476	3751	4113
477	3754	4099
478	3757	4086
479	3760	4073
480	3762	4059
481	3765	4046
482	3768	4033
483	3770	4020
484	3773	4006
485	3776	3994
486	3779	3980
487	3781	3967
488	3786	3956
489	3790	3945
490	3794	3933
491	3797	3921
492	3801	3909
493	3804	3896
494	3808	3885
495	3811	3872
496	3814	3860
497	3816	3847
498	3819	3835
499	3822	3822
500	3825	3809
501	3827	3797
502	3830	3784
503	3832	3772
504	3836	3760
505	3839	3747
506	3841	3735
507	3844	3723
508	3846	3710
509	3849	3698
510	3852	3686
511	3854	3674
512	3857	3662
513	3860	3650
514	3863	3638
515	3865	3626
516	3868	3614
517	3871	3602
518	3874	3591
519	3877	3579
520	3880	3567
521	3883	3555
522	3885	3544
523	3888	3532
524	3891	3520
525	3894	3509
526	3896	3497
527	3899	3486
528	3902	3474
529	3905	3463
530	3908	3451
531	3911	3441
532	3914	3429
533	3917	3418
534	3919	3407
535	3922	3395
536	3925	3384
537	3928	3373
538	3930	3362
539	3933	3350
540	3936	3339
541	3938	3328
542	3941	3317
543	3944	3306
544	3946	3295
545	3949	3284
546	3952	3273
547	3955	3262
548	3958	3251
549	3961	3241
550	3963	3230
551	3966	3219
552	3969	3208
553	3972	3197
554	3974	3186
555	3977	3176
556	3980	3165
557	3983	3155
558	3986	3144
559	3988	3134
560	3991	3123
561	3994	3113
562	3997	3102
563	4000	3092
564	4002	3081
565	4005	3071
566	4008	3060
567	4011	3050
568	4013	3040
569	4015	3029
570	4018	3019
571	4021	3008
572	4023	2998
573	4026	2988
574	4028	2977
575	4031	2967
576	4033	2957
577	4036	2946
578	4038	2936
579	4041	2926
580	4044	2916
581	4047	2906
582	4049	2896
583	4052	2886
584	4055	2876
585	4057	2866
586	4060	2856
587	4063	2847
588	4065	2837
589	4068	2827
590	4074	2819
591	4078	2810
592	4081	2801
593	4084	2791
594	4086	2781
595	4089	2772
596	4092	2762
597	4095	2753
598	4098	2743
599	4101	2734
600	4103	2724
601	4106	2715
602	4109	2705
603	4112	2696
604	4114	2686
605	4118	2677
606	4120	2668
607	4124	2659
608	4128	2650
609	4131	2641
610	4144	2638
611	4156	2634
612	4159	2625
613	4167	2619
614	4175	2613
615	4179	2605
616	4182	2596
617	4191	2591
618	4195	2582
619	4201	2575
620	4206	2566
621	4212	2560
622	4216	2551
623	4228	2548
624	4231	2539
625	4238	2532
626	4241	2523
627	4248	2516
628	4252	2508
629	4258	2501
630	4262	2492
631	4272	2487
632	4275	2478
633	4282	2472
634	4285	2463
635	4291	2455
636	4298	2449
637	4303	2442
638	4308	2433
639	4311	2425
640	4319	2419
641	4327	2413
642	4338	2408
643	4341	2400
644	4349	2393
645	4357	2388
646	4367	2382
647	4371	2374
648	4374	2365
649	4381	2359
650	4387	2352
651	4398	2347
652	4407	2341
653	4415	2336
654	4421	2328
655	4430	2323
656	4439	2317
657	4448	2312
658	4456	2305
659	4461	2298
660	4471	2293
661	4479	2287
662	4486	2280
663	4491	2272
664	4496	2265
665	4499	2256
666	4504	2248
667	4507	2240
668	4511	2232
669	4515	2224
670	4519	2215
671	4523	2207
672	4526	2199
673	4530	2191
674	4534	2183
675	4538	2175
676	4549	2170
677	4554	2163
678	4561	2156
679	4570	2150
680	4576	2143
681	4582	2136
682	4590	2130
683	4599	2124
684	4603	2117
685	4613	2111
686	4623	2106
687	4632	2100
688	4640	2094
689	4647	2087
690	4652	2080
691	4661	2074
692	4669	2068
693	4676	2061
694	4690	2058
695	4694	2050
696	4703	2044
697	4712	2038
698	4720	2032
699	4728	2026
700	4734	2019
701	4743	2013
702	4751	2007
703	4760	2001
704	4766	1994
705	4781	1991
706	4786	1983
707	4796	1978
708	4812	1975
709	4821	1969
710	4833	1964
711	4841	1958
712	4848	1951
713	4853	1944
714	4863	1938
715	4871	1932
716	4880	1926
717	4888	1919
718	4893	1912
719	4905	1907
720	4911	1900
721	4920	1894
722	4935	1890
723	4948	1886
724	4960	1881
725	4970	1875
726	4979	1869
727	4987	1863
728	4998	1858
729	5009	1852
730	5018	1846
731	5027	1840
732	5031	1832
733	5034	1824
734	5038	1816
735	5041	1808
736	5045	1800
737	5049	1792
738	5052	1784
739	5057	1776
740	5060	1768
741	5064	1760
742	5068	1753
743	5071	1744
744	5075	1737
745	5079	1729
746	5083	1721
747	5087	1713
748	5090	1706
749	5094	1698
750	5100	1690
751	5106	1683
752	5113	1677
753	5120	1670
754	5124	1662
755	5127	1654
756	5130	1647
757	5133	1638
758	5136	1630
759	5139	1622
760	5142	1614
761	5144	1606
762	5147	1598
763	5150	1590
764	5153	1583
765	5155	1575
766	5158	1567
767	5161	1559
768	5164	1551
769	5167	1543
770	5170	1535
771	5172	1527
772	5175	1519
773	5178	1512
774	5181	1504
775	5183	1496
776	5186	1488
777	5189	1480
778	5192	1473
779	5195	1465
780	5198	1457
781	5201	1449
782	5204	1442
783	5206	1434
784	5209	1426
785	5212	1419
786	5215	1411
787	5218	1403
788	5221	1396
789	5224	1388
790	5227	1381
791	5230	1373
792	5233	1366
793	5235	1358
794	5238	1350
795	5241	1343
796	5244	1335
797	5247	1328
798	5250	1320
799	5252	1313
800	5255	1305
801	5258	1298
802	5260	1290
803	5263	1283
804	5266	1275
805	5269	1268
806	5271	1260
807	5274	1253
808	5276	1245
809	5279	1238
810	5282	1231
811	5285	1223
812	5287	1216
813	5291	1209
814	5293	1201
815	5296	1194
816	5298	1186
817	5301	1179
818	5305	1172
819	5307	1165
820	5310	1157
821	5312	1150
822	5315	1143
823	5317	1135
824	5320	1128
825	5322	1121
826	5325	1114
827	5327	1106
828	5330	1099
829	5332	1092
830	5335	1085
831	5338	1077
832	5340	1070
833	5344	1063
834	5347	1056
835	5349	1049
836	5352	1042
837	5354	1035
838	5357	1028
839	5360	1020
840	5362	1013
841	5365	1006
842	5368	999
843	5371	992
844	5373	985
845	5376	978
846	5379	971
847	5382	964
848	5384	957
849	5387	950
850	5390	943
851	5392	936
852	5395	929
853	5398	922
854	5400	915
855	5403	908
856	5406	902
857	5408	895
858	5411	888
859	5413	881
860	5417	874
861	5419	867
862	5422	860
863	5424	853
864	5427	847
865	5430	840
866	5433	833
867	5436	826
868	5438	819
869	5441	813
870	5444	806
871	5446	799
872	5449	792
873	5451	785
874	5454	779
875	5457	772
876	5459	765
877	5462	758
878	5464	752
879	5467	745
880	5469	738
881	5472	732
882	5475	725
883	5478	718
884	5480	712
885	5483	705
886	5485	698
887	5488	692
888	5491	685
889	5494	679
890	5496	672
891	5499	665
892	5501	659
893	5504	652
894	5507	646
895	5510	639
896	5513	633
897	5515	626
898	5518	619
899	5521	613
900	5523	606
901	5526	600
902	5529	593
903	5531	587
904	5534	580
905	5537	574
906	5540	568
907	5543	561
908	5546	555
909	5548	548
910	5551	542
911	5554	535
912	5557	529
913	5559	523
914	5562	516
915	5565	510
916	5568	504
917	5571	497
918	5574	491
919	5576	484
920	5579	478
921	5582	472
922	5585	465
923	5588	459
924	5591	453
925	5593	447
926	5596	440
927	5599	434
928	5602	428
929	5605	421
930	5608	415
931	5611	409
932	5613	403
933	5616	396
934	5619	390
935	5622	384
936	5624	378
937	5628	372
938	5630	365
939	5633	359
940	5636	353
941	5639	347
942	5641	341
943	5644	334
944	5647	328
945	5650	322
946	5652	316
947	5655	310
948	5658	304
949	5661	297
950	5663	291
951	5666	285
952	5668	279
953	5671	273
954	5673	267
955	5676	261
956	5679	255
957	5681	249
958	5684	243
959	5687	236
960	5689	230
961	5692	224
962	5694	218
963	5697	212
964	5699	206
965	5702	200
966	5704	194
967	5707	188
968	5710	182
969	5712	176
970	5715	170
971	5718	164
972	5721	158
973	5723	152
974	5726	146
975	5729	140
976	5731	134
977	5734	128
978	5736	123
979	5739	117
980	5742	111
981	5744	105
982	5747	99
983	5749	93
984	5752	87
985	5754	81
986	5757	75
987	5759	69
988	5762	64
989	5765	58
990	5767	52
991	5770	46
992	5773	40
993	5776	34
994	5778	29
995	5781	23
996	5784	17
997	5787	11
998	5789	5
999	5792	0
